Values,Timestamp,Moving Average,MA_1000,MA_5000,Voltage Change,Time Difference,Rate of Change
99,2024-06-26 09:36:30,99.8,,,-1.0,16.0,-0.0625
98,2024-06-26 09:42:33,98.8,,,-1.0,17.0,-0.058823529411764705
97,2024-06-26 09:57:38,97.8,,,-1.0,16.0,-0.0625
97,2024-06-26 09:58:47,97.8,,,-1.0,17.0,-0.058823529411764705
96,2024-06-26 10:11:06,96.8,,,-1.0,14.0,-0.07142857142857142
95,2024-06-26 10:33:38,95.8,,,-1.0,15.0,-0.06666666666666667
94,2024-06-26 10:41:38,94.8,,,-1.0,16.0,-0.0625
93,2024-06-26 10:54:01,93.8,,,-1.0,16.0,-0.0625
92,2024-06-26 10:58:56,92.8,,,-1.0,32.0,-0.03125
92,2024-06-26 10:59:29,92.6,,,-1.0,15.0,-0.06666666666666667
91,2024-06-26 11:04:10,91.8,,,-1.0,15.0,-0.06666666666666667
90,2024-06-26 11:08:35,90.8,,,-1.0,17.0,-0.058823529411764705
89,2024-06-26 11:23:57,89.8,,,-1.0,32.0,-0.03125
88,2024-06-26 11:30:51,88.8,,,-1.0,16.0,-0.0625
87,2024-06-26 11:34:25,87.8,,,-1.0,15.0,-0.06666666666666667
86,2024-06-26 11:37:10,86.8,,,-1.0,33.0,-0.030303030303030304
85,2024-06-26 11:39:55,85.8,,,-1.0,16.0,-0.0625
84,2024-06-26 11:41:51,84.8,,,-1.0,17.0,-0.058823529411764705
83,2024-06-26 11:47:37,83.8,,,-1.0,16.0,-0.0625
82,2024-06-26 11:49:32,82.8,,,-1.0,15.0,-0.06666666666666667
82,2024-06-26 11:50:06,82.6,,,-1.0,17.0,-0.058823529411764705
81,2024-06-26 11:54:12,81.8,,,-1.0,16.0,-0.0625
80,2024-06-26 11:56:25,80.8,,,-1.0,16.0,-0.0625
79,2024-06-26 11:59:42,79.8,,,-1.0,16.0,-0.0625
78,2024-06-26 12:01:06,78.8,,,-1.0,18.0,-0.05555555555555555
78,2024-06-26 12:01:39,78.6,,,-1.0,17.0,-0.058823529411764705
77,2024-06-26 12:05:12,77.8,,,-1.0,15.0,-0.06666666666666667
75,2024-06-26 12:12:23,76.6,,,-2.0,266.0,-0.007518796992481203
74,2024-06-26 12:13:45,74.8,,,-1.0,1.0,-1.0
73,2024-06-26 12:17:37,73.8,,,-1.0,50.0,-0.02
72,2024-06-26 12:20:05,72.8,,,-1.0,18.0,-0.05555555555555555
71,2024-06-26 12:23:23,71.8,,,-1.0,16.0,-0.0625
70,2024-06-26 12:25:35,70.8,,,-1.0,18.0,-0.05555555555555555
69,2024-06-26 12:28:35,69.8,,,-1.0,15.0,-0.06666666666666667
68,2024-06-26 12:31:38,68.8,,,-1.0,18.0,-0.05555555555555555
67,2024-06-26 12:34:23,67.8,,,-1.0,18.0,-0.05555555555555555
66,2024-06-26 12:37:57,66.8,,,-1.0,16.0,-0.0625
65,2024-06-26 12:41:48,65.8,,,-1.0,1.0,-1.0
64,2024-06-26 12:46:12,64.8,,,-1.0,15.0,-0.06666666666666667
63,2024-06-26 12:50:02,63.8,,,-1.0,17.0,-0.058823529411764705
62,2024-06-26 12:51:41,62.8,,,-1.0,14.0,-0.07142857142857142
61,2024-06-26 12:54:44,61.8,,,-1.0,17.0,-0.058823529411764705
61,2024-06-26 12:56:06,61.2,,,-1.0,18.0,-0.05555555555555555
60,2024-06-26 13:00:29,60.8,,,-1.0,14.0,-0.07142857142857142
59,2024-06-26 13:04:03,59.8,,,-1.0,16.0,-0.0625
58,2024-06-26 13:05:59,58.8,,,-1.0,15.0,-0.06666666666666667
58,2024-06-26 13:07:55,58.8,,,-1.0,16.0,-0.0625
57,2024-06-26 13:12:03,57.8,,,-1.0,16.0,-0.0625
56,2024-06-26 13:13:59,56.8,,,-1.0,17.0,-0.058823529411764705
55,2024-06-26 13:17:33,55.8,,,-1.0,16.0,-0.0625
54,2024-06-26 13:19:44,54.8,,,-1.0,15.0,-0.06666666666666667
53,2024-06-26 13:24:26,53.8,,,-1.0,16.0,-0.0625
52,2024-06-26 13:27:11,52.8,,,-1.0,18.0,-0.05555555555555555
51,2024-06-26 13:35:26,51.8,,,-1.0,17.0,-0.058823529411764705
50,2024-06-26 13:37:20,50.8,,,-1.0,16.0,-0.0625
49,2024-06-26 13:40:23,49.8,,,-1.0,2.0,-0.5
48,2024-06-26 13:42:50,48.8,,,-1.0,16.0,-0.0625
47,2024-06-26 13:46:26,47.8,,,-1.0,17.0,-0.058823529411764705
46,2024-06-26 13:48:20,46.8,80.228,,-1.0,15.0,-0.06666666666666667
45,2024-06-26 13:51:23,45.8,79.633,,-1.0,2.0,-0.5
44,2024-06-26 13:54:06,44.8,79.082,,-1.0,16.0,-0.0625
43,2024-06-26 13:57:26,43.8,78.355,,-1.0,18.0,-0.05555555555555555
42,2024-06-26 13:59:36,42.8,77.962,,-1.0,14.0,-0.07142857142857142
41,2024-06-26 14:04:35,41.8,76.882,,-1.0,17.0,-0.058823529411764705
89,2024-06-26 15:24:59,89.8,76.467,,-1.0,16.0,-0.0625
88,2024-06-26 15:29:57,89.2,76.448,,-1.0,282.0,-0.0035460992907801418
87,2024-06-26 15:30:29,88.2,76.427,,-1.0,16.0,-0.0625
86,2024-06-26 15:33:31,86.8,76.294,,-1.0,17.0,-0.058823529411764705
85,2024-06-26 15:37:03,85.8,76.125,,-1.0,15.0,-0.06666666666666667
84,2024-06-26 15:39:00,84.8,76.02,,-1.0,16.0,-0.0625
83,2024-06-26 15:44:30,83.8,75.726,,-1.0,17.0,-0.058823529411764705
82,2024-06-26 15:46:25,82.8,75.613,,-1.0,16.0,-0.0625
81,2024-06-26 15:50:16,81.8,75.402,,-1.0,16.0,-0.0625
80,2024-06-26 15:53:00,80.8,75.225,,-1.0,16.0,-0.0625
80,2024-06-26 15:54:05,80.4,75.161,,-1.0,14.0,-0.07142857142857142
79,2024-06-26 15:57:07,79.8,74.968,,-1.0,15.0,-0.06666666666666667
78,2024-06-26 15:59:21,78.8,74.814,,-1.0,17.0,-0.058823529411764705
77,2024-06-26 16:04:17,77.8,74.687,,-1.0,165.0,-0.006060606060606061
76,2024-06-26 16:05:38,76.8,74.591,,-1.0,16.0,-0.0625
75,2024-06-26 16:08:39,75.8,74.47,,-1.0,16.0,-0.0625
74,2024-06-26 16:10:37,74.8,74.322,,-1.0,33.0,-0.030303030303030304
73,2024-06-26 16:13:37,73.8,74.057,,-1.0,15.0,-0.06666666666666667
72,2024-06-26 16:17:44,72.8,73.872,,-1.0,147.0,-0.006802721088435374
71,2024-06-26 16:20:31,71.8,73.631,,-1.0,18.0,-0.05555555555555555
70,2024-06-26 16:22:43,70.8,73.405,,-1.0,3.0,-0.3333333333333333
69,2024-06-26 16:29:01,69.8,73.154,,-1.0,132.0,-0.007575757575757576
68,2024-06-26 16:30:39,68.8,72.997,,-1.0,16.0,-0.0625
67,2024-06-26 16:33:58,68.0,72.915,,-1.0,181.0,-0.0055248618784530384
66,2024-06-26 16:37:49,66.8,72.497,,-1.0,16.0,-0.0625
65,2024-06-26 16:43:36,65.8,72.356,,-1.0,264.0,-0.003787878787878788
64,2024-06-26 16:44:08,65.2,72.297,,-1.0,16.0,-0.0625
63,2024-06-26 16:49:06,63.8,71.756,,-1.0,17.0,-0.058823529411764705
62,2024-06-26 16:51:50,62.8,71.445,,-1.0,16.0,-0.0625
61,2024-06-26 16:56:15,61.8,70.936,,-1.0,17.0,-0.058823529411764705
60,2024-06-26 16:59:32,60.8,70.647,,-1.0,67.0,-0.014925373134328358
59,2024-06-26 17:03:08,59.8,70.481,,-1.0,17.0,-0.058823529411764705
57,2024-06-26 17:09:25,57.8,69.9,,-1.0,15.0,-0.06666666666666667
56,2024-06-26 17:12:43,56.8,69.589,,-1.0,16.0,-0.0625
55,2024-06-26 17:17:57,55.8,68.861,,-1.0,17.0,-0.058823529411764705
53,2024-06-26 17:23:27,53.8,68.572,,-1.0,15.0,-0.06666666666666667
52,2024-06-26 17:26:12,52.8,68.238,,-1.0,48.0,-0.020833333333333332
51,2024-06-26 17:32:16,51.8,67.401,,-1.0,34.0,-0.029411764705882353
50,2024-06-26 17:33:22,51.2,67.322,,-1.0,16.0,-0.0625
49,2024-06-26 17:37:30,49.8,66.648,,-1.0,2.0,-0.5
48,2024-06-26 17:39:57,48.8,66.287,,-1.0,15.0,-0.06666666666666667
47,2024-06-26 17:43:34,47.8,65.675,,-1.0,18.0,-0.05555555555555555
46,2024-06-26 17:49:03,46.8,64.904,,-1.0,2.0,-0.5
45,2024-06-26 17:56:44,45.8,63.771,,-1.0,16.0,-0.0625
44,2024-06-26 18:00:52,44.8,63.113,,-1.0,16.0,-0.0625
43,2024-06-26 18:08:01,43.8,62.501,,-1.0,16.0,-0.0625
42,2024-06-26 18:14:03,42.8,61.595,,-1.0,17.0,-0.058823529411764705
42,2024-06-26 18:15:10,42.8,61.412,,-1.0,16.0,-0.0625
41,2024-06-26 18:25:03,41.8,60.14,,-1.0,33.0,-0.030303030303030304
40,2024-06-26 18:31:24,40.8,59.299,,-1.0,18.0,-0.05555555555555555
39,2024-06-26 18:48:27,39.8,57.394,,-1.0,33.0,-0.030303030303030304
38,2024-06-26 19:02:45,38.8,56.044,,-1.0,18.0,-0.05555555555555555
37,2024-06-26 19:24:28,37.8,54.307,,-1.0,17.0,-0.058823529411764705
36,2024-06-26 19:34:55,36.8,53.558,,-1.0,17.0,-0.058823529411764705
35,2024-06-26 20:05:45,35.8,52.266,,-1.0,18.0,-0.05555555555555555
34,2024-06-26 20:12:36,34.8,51.913,,-1.0,16.0,-0.0625
33,2024-06-26 20:34:03,33.8,50.815,,-1.0,16.0,-0.0625
32,2024-06-26 20:49:11,32.8,47.614,,-1.0,18.0,-0.05555555555555555
99,2024-06-26 22:39:47,99.8,47.993,,-1.0,2.0,-0.5
98,2024-06-26 22:42:15,98.8,48.204,,-1.0,17.0,-0.058823529411764705
97,2024-06-26 22:45:32,97.8,48.889,,-1.0,17.0,-0.058823529411764705
96,2024-06-26 22:53:32,96.8,50.532,,-1.0,2.0,-0.5
