Voltage,Timestamp,Moving Average,Voltage Change,Time Difference,Rate of Change,MA_1000,MA_5000
98,2024-06-26 09:57:56,97.8,0.0,16.0,0.0,,
93,2024-06-26 10:58:57,92.8,1.0,1.0,1.0,,
83,2024-06-26 11:49:49,82.8,1.0,17.0,0.058823529411764705,,
79,2024-06-26 12:01:22,78.8,1.0,16.0,0.0625,,
62,2024-06-26 12:55:48,61.2,1.0,16.0,0.0625,,
59,2024-06-26 13:07:07,58.6,0.0,2.0,0.0,,
90,2024-06-26 15:23:37,80.2,0.0,16.0,0.0,76.508,
81,2024-06-26 15:53:34,80.6,1.0,16.0,0.0625,75.192,
43,2024-06-26 18:14:21,42.8,0.0,17.0,0.0,61.521,
100,2024-06-26 22:31:32,100.0,0.0,17.0,0.0,46.223,
85,2024-06-27 00:33:37,84.8,1.0,17.0,0.058823529411764705,65.266,
85,2024-06-27 03:16:27,85.0,0.0,15.0,0.0,74.639,
77,2024-06-27 03:54:40,76.8,1.0,17.0,0.058823529411764705,78.602,
71,2024-06-27 04:24:55,70.6,0.0,2.0,0.0,80.875,
62,2024-06-27 05:04:45,61.8,1.0,15.0,0.06666666666666667,80.973,
60,2024-06-27 05:12:12,59.8,0.0,16.0,0.0,80.368,
43,2024-06-27 06:20:57,42.8,1.0,15.0,0.06666666666666667,69.631,
41,2024-06-27 06:33:52,40.6,1.0,16.0,0.0625,67.074,
39,2024-06-27 06:55:03,38.8,1.0,16.0,0.0625,63.044,
100,2024-06-27 14:09:28,100.0,0.0,16.0,0.0,61.571,
93,2024-06-27 15:26:26,92.6,1.0,16.0,0.0625,68.019,
87,2024-06-27 15:52:50,86.8,1.0,17.0,0.058823529411764705,69.519,
89,2024-06-27 19:43:39,89.0,0.0,15.0,0.0,70.591,
74,2024-06-27 20:38:54,73.8,1.0,16.0,0.0625,77.359,
37,2024-06-27 23:04:21,36.8,0.0,15.0,0.0,60.7,65.4192
100,2024-06-28 06:54:59,100.0,0.0,115.0,0.0,45.032,60.5836
89,2024-06-28 11:30:47,88.8,1.0,18.0,0.05555555555555555,70.32,64.2324
76,2024-06-28 12:55:59,75.2,1.0,17.0,0.058823529411764705,86.018,66.1238
59,2024-06-28 14:04:12,58.2,1.0,16.0,0.0625,85.292,67.1744
57,2024-06-28 14:13:17,56.2,1.0,2.0,0.5,83.79,67.3182
78,2024-06-28 15:40:54,71.8,0.0,16.0,0.0,78.283,67.7148
